# Total Phase Data Center(tm) v8.10
# (c) 2005-2026 Total Phase, Inc.
# www.totalphase.com
#
# Wed Apr 01 10:35:44 2026
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,FS,214,0:10.300.820,24.010.500 ms,34 B,,07,00,Get String Descriptor,22 03 30 00 34 00 38 00 66 00 31 00 63 00 39 00 63 00 32 00 32 00 33 00 39 00 30 00 30 00 36 00 37 00,Index=3 Length=255,""".0.4.8.f.1.c.9.c.2.2.3.9.0.0.6.7."
1,FS,215,0:10.300.820,12.666 us,8 B,,07,00,   SETUP txn,80 06 03 03 09 04 FF 00,,"........"
2,FS,216,0:10.300.820,2.083 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,217,0:10.300.824,7.516 us,11 B,,07,00,      DATA0 packet,C3 80 06 03 03 09 04 FF 00 96 0A,,"..........."
2,FS,218,0:10.300.832,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,219,0:10.301.821,30.250 us,34 B,,07,00,   IN txn,22 03 30 00 34 00 38 00 66 00 31 00 63 00 39 00 63 00 32 00 32 00 33 00 39 00 30 00 30 00 36 00 37 00,,""".0.4.8.f.1.c.9.c.2.2.3.9.0.0.6.7."
2,FS,220,0:10.301.821,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,221,0:10.301.824,24.750 us,37 B,,07,00,      DATA1 packet,4B 22 03 30 00 34 00 38 00 66 00 31 00 63 00 39 00 63 00 32 00 32 00 33 00 39 00 30 00 30 00 36 00 37 00 37 92,,"K"".0.4.8.f.1.c.9.c.2.2.3.9.0.0.6.7.7."
2,FS,222,0:10.301.850,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,223,0:10.323.824,1.007.416 ms,0 B,,07,00,   OUT txn   [1 POLL],,,""
2,FS,224,0:10.323.824,7.250 us,,,07,00,      [1 OUT-DATA-NAK],,,""
3,FS,225,0:10.323.824,7.250 us,0 B,,07,00,         OUT-DATA-NAK,,,""
4,FS,226,0:10.323.824,2.183 us,3 B,,07,00,            OUT packet,E1 07 68,,"..h"
4,FS,227,0:10.323.827,2.083 us,3 B,,07,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,228,0:10.323.830,750 ns,1 B,,07,00,            NAK packet,5A,,"Z"
2,FS,229,0:10.324.824,2.183 us,3 B,,07,00,      OUT packet,E1 07 68,,"..h"
2,FS,230,0:10.324.827,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,231,0:10.324.830,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,232,0:10.325.821,77.012.250 ms,,,,,[78 SOF],,[Frames: 1741 - 1818] ,""
0,FS,233,0:10.400.834,2.007.833 ms,0 B,,07,00,Set Configuration,,Configuration=1,""
1,FS,234,0:10.400.834,12.583 us,8 B,,07,00,   SETUP txn,00 09 01 00 00 00 00 00,,"........"
2,FS,235,0:10.400.834,2.083 us,3 B,,07,00,      SETUP packet,2D 07 68,,"-.h"
2,FS,236,0:10.400.837,7.416 us,11 B,,07,00,      DATA0 packet,C3 00 09 01 00 00 00 00 00 27 25,,".........'%"
2,FS,237,0:10.400.846,750 ns,1 B,,07,00,      ACK packet,D2,,"."
1,FS,238,0:10.401.834,1.007.666 ms,0 B,,07,00,   IN txn   [1 POLL],,,""
2,FS,239,0:10.401.834,4.083 us,,,07,00,      [1 IN-NAK],,,""
2,FS,240,0:10.402.834,2.083 us,3 B,,07,00,      IN packet,69 07 68,,"i.h"
2,FS,241,0:10.402.837,2.083 us,3 B,,07,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,242,0:10.402.841,750 ns,1 B,,07,00,      ACK packet,D2,,"."
0,FS,243,0:10.403.831,168.024.333 ms,,,,,[169 SOF],,[Frames: 1819 - 1987] ,""
